ID,uniorg,interests,subject,grad_date,course_level,branch_name,age,gender,space_word,mtype,status,registration_date
1877,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1878,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1879,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1880,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1881,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1882,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1883,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1884,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1885,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1886,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1887,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1888,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1889,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1890,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1891,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1892,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1893,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1894,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1895,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1896,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1897,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1898,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1899,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1900,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1901,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1902,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1903,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1904,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1905,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1906,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1907,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1908,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1909,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1910,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1911,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1912,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1913,University of Warwick,,,,,Warwick Rockets (UWRS),0,,,branch,150,19/01/2015
1914,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1915,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1916,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1917,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1918,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1919,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1920,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1921,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1922,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1923,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1924,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1925,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1926,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1927,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1928,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1929,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1930,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1931,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1932,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1933,University of Warwick,,,,,Warwick Rockets (UWRS),0,,,branch,150,19/01/2015
1934,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1935,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
1936,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
1937,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
1938,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,female,,branch,150,21/01/2015
1939,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
1940,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
1941,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
1942,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
1943,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
1944,University of Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,21/01/2015
